Gender,Manager Level,Title,Age,Education Degree,Confident,Capable,Efficient,Intelligent,Friendly,Trustworthy,Warm,Sincere,Jealous,Envious,Admiring,Proud,Inspired,Angry,Disgusted,Hateful,Frustrated,Ashamed,Pity,Sympathy
Female,Top,President,58,Master,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree
Female,Top,Organizational Manager,43,MBA,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Neutral
Female,Middle,Supervisor,41,MBA,Agree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree
Male,Middle,Supervisor,42,Bachelor,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree
Male,Top,President,40,MBA,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree
Male,Middle,Board Member,46,Bachelor,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree
Female,Middle,Board Member,51,Master,Agree,Agree,Strongly Disagree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Disagree,Strongly Disagree
Female,Middle,Vice-president,43,PhD,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree
Male,Middle,Supervisor,56,Bachelor,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree
Female,Level,Board Member,44,Master,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree
Male,Top,President,51,PhD,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Strongly Disagree
Female,Top,Assistant Manager,55,Bachelor,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
Male,Top,Supervisor,38,MBA,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree
Male,Middle,Board Member,57,Bachelor,Disagree,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree
Female,Level,Board Member,58,Bachelor,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Neutral
Female,Middle,Board Member,53,PhD,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Agree,Agree,Strongly Disagree
Male,Middle,Organizational Manager,40,PhD,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree
Female,Top,Organizational Manager,43,PhD,Strongly Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Agree
Male,Top,Organizational Manager,40,PhD,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree
Female,Top,C-Level,55,Master,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree
Female,Top,Assistant Manager,52,Master,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Female,Top,Vice-president,57,Bachelor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree
Male,Top,C-Level,49,Master,Neutral,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree
Female,Level,Vice-president,40,Master,Strongly Disagree,Agree,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree
Female,Middle,C-Level,38,Master,Neutral,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
Male,Top,President,42,Bachelor,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Agree,Neutral,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Disagree,Neutral
Female,Middle,President,48,Master,Strongly Agree,Neutral,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree
Male,Middle,Organizational Manager,49,MBA,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Strongly Agree
Female,Middle,C-Level,39,MBA,Strongly Agree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly Disagree
Female,Top,Supervisor,52,Master,Neutral,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree
Male,Level,Vice-president,46,Master,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Neutral
Female,Level,Vice-president,46,PhD,Strongly Agree,Disagree,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree
Female,Top,Board Member,46,MBA,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree
Male,Middle,Vice-president,44,MBA,Agree,Neutral,Strongly Disagree,Agree,Disagree,Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Agree
Female,Top,Board Member,40,PhD,Strongly Disagree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree
Female,Level,Organizational Manager,40,PhD,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Disagree,Disagree
Female,Middle,Organizational Manager,55,Bachelor,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Neutral
Female,Middle,Vice-president,58,Master,Disagree,Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree
Male,Level,Vice-president,52,PhD,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Neutral
Female,Level,Supervisor,40,PhD,Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree
Male,Top,President,49,Master,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Disagree
Female,Level,President,46,Master,Agree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree
Female,Middle,Board Member,42,MBA,Neutral,Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree
Female,Middle,Vice-president,47,PhD,Strongly Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Agree,Neutral
Male,Top,Board Member,51,Bachelor,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree
Male,Middle,Vice-president,55,MBA,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree
Female,Top,Vice-president,55,PhD,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree
Male,Top,Assistant Manager,40,Master,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Strongly Agree
Female,Top,Supervisor,38,MBA,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Disagree
Female,Middle,Supervisor,41,Bachelor,Neutral,Strongly Agree,Agree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree
Male,Level,Organizational Manager,50,Master,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree
Female,Top,President,54,MBA,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree
Male,Middle,President,44,MBA,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Disagree
Female,Level,C-Level,38,MBA,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Disagree
Male,Level,Vice-president,43,Master,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree
Male,Top,Board Member,59,MBA,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree
Male,Middle,Supervisor,56,MBA,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree
Male,Middle,Board Member,55,PhD,Disagree,Neutral,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Neutral
Female,Top,Organizational Manager,39,Master,Neutral,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Strongly Agree,Agree,Neutral,Disagree
Male,Middle,Assistant Manager,54,PhD,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree
Male,Level,President,38,PhD,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree
Male,Middle,President,44,MBA,Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree
Female,Top,President,42,MBA,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree
Female,Middle,President,53,Bachelor,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Disagree
Male,Top,Vice-president,51,MBA,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral
Female,Top,Supervisor,43,Bachelor,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree
Male,Level,C-Level,46,Master,Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
Male,Level,Supervisor,40,Bachelor,Neutral,Disagree,Neutral,Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree
Male,Level,Board Member,45,MBA,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree
Male,Middle,President,48,Bachelor,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Disagree
Female,Top,C-Level,56,Master,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral
Male,Level,Assistant Manager,42,PhD,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral
Female,Top,Supervisor,49,MBA,Neutral,Strongly Disagree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral
Female,Top,Supervisor,44,MBA,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Agree
Female,Middle,C-Level,47,PhD,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree
Male,Middle,Supervisor,46,Master,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree
Female,Top,Organizational Manager,42,PhD,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Neutral
Female,Middle,Assistant Manager,51,Bachelor,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Disagree
Female,Middle,Assistant Manager,59,MBA,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Strongly Disagree
Male,Level,Assistant Manager,41,Master,Neutral,Neutral,Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree
Female,Top,Organizational Manager,50,Master,Agree,Neutral,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree
Male,Level,Organizational Manager,39,Bachelor,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Disagree
Male,Middle,Vice-president,51,Bachelor,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Agree
Male,Middle,C-Level,42,Bachelor,Disagree,Strongly Agree,Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Agree,Neutral,Strongly Disagree
Female,Level,C-Level,58,MBA,Neutral,Agree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree
Male,Top,Assistant Manager,46,Master,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Neutral,Agree
Female,Middle,Vice-president,42,MBA,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree
Male,Top,President,48,Bachelor,Strongly Agree,Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Neutral
Male,Middle,Vice-president,47,PhD,Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree
Male,Top,C-Level,53,Master,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Neutral
Male,Top,Organizational Manager,50,Bachelor,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Neutral
Female,Level,Board Member,47,Master,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Disagree
Female,Level,Organizational Manager,40,MBA,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Disagree
Male,Level,Assistant Manager,43,Bachelor,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree
Male,Middle,President,46,PhD,Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree
Male,Top,C-Level,56,MBA,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Strongly Disagree
